日付,文脈,タイムスタンプ,リスナー,コメント
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,1番は姫が文章書いてるの見てたいかな
2026-06-20,,,(ヒ)(モ)な[詐][欺][師]~MIYABI~,姫が姫の言葉で綴ってる姿を近くで見守りたいすね
2026-06-20,,,┗綿引茉采┛,可愛いお洋服
2026-06-20,,,┗綿引茉采┛,いつもどんな配信してるんですか～??
2026-06-20,,,┗綿引茉采┛,結構な頻度でやってます？
2026-06-20,,,┗綿引茉采┛,ハーミーだけ落としに来ました
2026-06-20,,,┗綿引茉采┛,また来ますね～！
2026-06-20,何県ですか？の続き,,ちゃる房,おとぎの国かな？
2026-06-20,おとぎの国かな？の続き,,ちゃる房,声と写真のイメージで答えてみました
2026-06-20,,,ちゃる房,ふわふわした感じが癒されるよ
2026-06-20,,,ちゃる房,可愛いどろちゃんの元気を貰わないと、生きられないくらい元気無し
2026-06-20,A「みんな、今日の元気は10段階中何？」ちゃる房「初老だから、元気どは1かな🤣」の続き,,ちゃる房,今は癒されて2まで上がりました
2026-06-20,,,ちゃる房,可愛い声だけで元気もらえるよ
2026-06-20,いまね。。。実はあんまり元気ないんだよね・・・　2/10くらい　アイドルの推しちゃんが、卒業しちゃうのよ　ここ2年くらい、ガチ推ししてるコなんです　昨日発表があってね。　の続き,,ネネリウム,だから、昨日のどろちゃんの配信で、実はとても癒されてたんだよ
2026-06-20,A「Googleスプレッドシートアンチです」ネネリウム「どろちゃん、令和時代の女の子じゃないよね。絶対ｗ」の続き,,ネネリウム,だって生まれた時には、もうクラウドあったでしょｗ
2026-06-20,,,ネネリウム,どろちゃんをアイドルのライブに呼んであげたい
2026-06-20,A「ドロの今日の元気は、3/10」,,ネネリウム,どろちゃんの３はどれくらいの状態なんだろ
2026-06-20,A「ドロの今日の元気は、3/10」,,ネネリウム,どろちゃんの10/10見てみたい！
2026-06-20,,,ネネリウム,VBAなんて言葉知ってるのは、どろちゃんは、事務職のプロ？
2026-06-22,,,ちゃる房,可愛い声に癒されに来た
2026-06-22,A「私は治療中」,,ちゃる房,おいしい水で紅茶とか珈琲を入れて飲ませてあげたい、元気になってほしい
2026-06-22,A「私を動物にたとえるなら？」,,ちゃる房,みた感じと声の感じで、どろちゃんは、うさぎ🐰かな
2026-06-22,A「私を動物にたとえるなら？」,,及川はるか,お姉様かぁ　ハムスターとかかなぁ？
2026-06-22,A「私を動物にたとえるなら？」,,ネネリウム,ネザーランドドワーフ（うさぎ）
2026-06-22,A「私を動物にたとえるなら？」,,ネネリウム,犬でも猫ちゃんでもないっぽくて、性格穏やかそうなコにしてみた
